iter	Logloss
0	0.6715346289
1	0.6487584798
2	0.6291301783
3	0.6109894807
4	0.5949186685
5	0.5799771677
6	0.5636327182
7	0.5523419108
8	0.5387521881
9	0.529321407
10	0.5169292394
11	0.5056961617
12	0.4952808328
13	0.4862609841
14	0.4764031967
15	0.4725611602
16	0.4633039514
17	0.45486951
18	0.446968798
19	0.4405136872
20	0.4343383013
21	0.4296480476
22	0.4243959148
23	0.4193686875
24	0.4142900114
25	0.4094956599
26	0.4051105429
27	0.4015167839
28	0.3966266624
29	0.3935589043
30	0.3895248032
31	0.3873782502
32	0.3847047951
33	0.3814137229
34	0.3783775275
35	0.3758365132
36	0.3742381777
37	0.3713331974
38	0.3690732475
39	0.3661399302
40	0.3645187423
41	0.3622108549
42	0.3602832991
43	0.3580025667
44	0.3558044693
45	0.354614069
46	0.3530765278
47	0.3512406654
48	0.349166308
49	0.3469605098
50	0.3453037038
51	0.3441113206
52	0.3420617319
53	0.3412769301
54	0.3404309712
55	0.3394485442
56	0.3380627643
57	0.3364584565
58	0.3355559283
59	0.3341629578
60	0.3331671344
61	0.3320033726
62	0.3312785473
63	0.3301859224
64	0.3291076048
65	0.3286737709
66	0.3274031298
67	0.3268590088
68	0.3261018302
69	0.3252113695
70	0.3242087778
71	0.3236318317
72	0.3228783111
73	0.3216646678
74	0.320687307
75	0.3195212697
76	0.3187359666
77	0.3183737498
78	0.3181083242
79	0.3173673034
80	0.3168110063
81	0.3164091958
82	0.3160199327
83	0.3150202564
84	0.3143168918
85	0.3136132851
86	0.3128385616
87	0.3119748817
88	0.3110405017
89	0.3106471721
90	0.3098619996
91	0.3090934692
92	0.3079737009
93	0.3073460955
94	0.3068997741
95	0.3060816523
96	0.30518847
97	0.3045375593
98	0.3039575808
99	0.3034876298
100	0.3030935639
101	0.3025994203
102	0.3021324734
103	0.3017991876
104	0.3011387895
105	0.3008452336
106	0.3003364193
107	0.2996633659
108	0.2989594291
109	0.2984538824
110	0.2975062314
111	0.2966785108
112	0.2960354487
113	0.2954921249
114	0.2948379702
115	0.2945668701
116	0.2940245789
117	0.2937805822
118	0.2933981274
119	0.2928610049
120	0.2921595639
121	0.2914759111
122	0.2911600649
123	0.2906961669
124	0.2904645831
125	0.289850132
126	0.2893907732
127	0.2887430464
128	0.2882308664
129	0.2876218308
130	0.2869409629
131	0.2862648938
132	0.2856964807
133	0.2853438496
134	0.2852451029
135	0.2848811714
136	0.2847139298
137	0.2844197243
138	0.2841647764
139	0.2838358005
140	0.283470389
141	0.2832306222
142	0.2825767987
143	0.2823722733
144	0.2816562189
145	0.2813659517
146	0.2808191557
147	0.2798108132
148	0.2795101938
149	0.2788971814
150	0.2786599841
151	0.2783994634
152	0.2781546153
153	0.2777758959
154	0.277657528
155	0.2773322288
156	0.2770311776
157	0.2764864178
158	0.276031565
159	0.2755852231
160	0.2752958752
161	0.2747115217
162	0.2744939979
163	0.2740065399
164	0.2736168451
165	0.2734044191
166	0.2729327236
167	0.2726936034
168	0.2723963913
169	0.2721327194
170	0.2718047425
171	0.2713508651
172	0.2711170499
173	0.2705931782
174	0.2703032341
175	0.2696940961
176	0.2694152177
177	0.2691708912
178	0.2686568409
179	0.2684217273
180	0.2681013705
181	0.2680172719
182	0.2676404961
183	0.267194461
184	0.2667993628
185	0.2662248252
186	0.2657840993
187	0.2655495847
188	0.2653083928
189	0.2648806105
190	0.2648678068
191	0.2645187946
192	0.2640283733
193	0.2638438553
194	0.2634962172
195	0.2630412841
196	0.2625494981
197	0.2623135732
198	0.2619738826
199	0.2616916099
200	0.2615094458
201	0.2609055886
202	0.2604678706
203	0.2601894686
204	0.259553662
205	0.2592668148
206	0.258746553
207	0.258472934
208	0.2581417664
209	0.2574103809
210	0.2569823606
211	0.256824017
212	0.2565122999
213	0.2563208145
214	0.2558782343
215	0.255511543
216	0.2554213386
217	0.2552001532
218	0.2548688529
219	0.2543513807
220	0.2538451834
221	0.2537977464
222	0.253502402
223	0.2531190669
224	0.2525273666
225	0.2524276103
226	0.25180663
227	0.2512943817
228	0.2510247776
229	0.2508341653
230	0.2504874205
231	0.2502082904
232	0.2501672975
233	0.2495775416
234	0.2493823055
235	0.2489921003
236	0.2480802603
237	0.2478803039
238	0.2476209956
239	0.2471778192
240	0.2470620031
241	0.2460846665
242	0.2456481936
243	0.2453055033
244	0.2446770904
245	0.2444577572
246	0.2442482414
247	0.2437145863
248	0.243447322
249	0.2429356087
250	0.2425766646
251	0.2419358007
252	0.2416346445
253	0.2412541032
254	0.2411006279
255	0.2407521065
256	0.2401137612
257	0.2393918589
258	0.2385367101
259	0.2381639623
260	0.2375092671
261	0.237109491
262	0.23680449
263	0.2361555815
264	0.2359471846
265	0.2354915202
266	0.2351015158
267	0.2350166717
268	0.2345115265
269	0.2341953177
270	0.2340351068
271	0.233465293
272	0.2331646806
273	0.232915529
274	0.2323258642
275	0.2321860243
276	0.2314797694
277	0.2312228432
278	0.2308195001
279	0.2302638445
280	0.2298781126
281	0.229666886
282	0.2293217958
283	0.2288807297
284	0.2287473411
285	0.2280498484
286	0.227807931
287	0.2275873442
288	0.2271223528
289	0.2263031384
290	0.2259231788
291	0.2257106919
292	0.2256071472
293	0.2250115062
294	0.2244770487
295	0.2242277788
296	0.2240655503
297	0.2237539471
298	0.2233475738
299	0.2227289503
300	0.2221892501
301	0.2215199949
302	0.2212654782
303	0.2211022778
304	0.2205431576
305	0.2204043649
306	0.2198185301
307	0.2196513036
308	0.2191498073
309	0.2190954586
310	0.218888441
311	0.2182683737
312	0.21775825
313	0.2176642586
314	0.2170658698
315	0.2170505709
316	0.2166099317
317	0.2164772306
318	0.216101396
319	0.2155813644
320	0.2149623042
321	0.2145927303
322	0.2140020197
323	0.2134248847
324	0.2132537549
325	0.2128116815
326	0.2123594543
327	0.2120391359
328	0.2116032043
329	0.2111197681
330	0.2108248064
331	0.2103950471
332	0.2103257439
333	0.2097369558
334	0.2095191338
335	0.2091738678
336	0.2087414797
337	0.2084542243
338	0.2083788966
339	0.2083503075
340	0.2081375301
341	0.2080937234
342	0.207815434
343	0.207537476
344	0.2071573804
345	0.2066876393
346	0.2066253529
347	0.2062475911
348	0.2059624194
349	0.2059386185
