iter	Passed	Remaining
0	6	6129
1	12	6272
2	19	6319
3	26	6488
4	33	6571
5	39	6482
6	48	6836
7	53	6672
8	60	6632
9	66	6592
10	73	6580
11	82	6800
12	91	6931
13	98	6969
14	104	6845
15	109	6742
16	115	6651
17	117	6428
18	127	6560
19	132	6484
20	137	6417
21	143	6381
22	144	6159
23	150	6138
24	160	6256
25	167	6259
26	173	6262
27	178	6208
28	184	6187
29	190	6146
30	195	6100
31	204	6182
32	210	6181
33	216	6137
34	221	6117
35	227	6084
36	232	6057
37	241	6106
38	246	6084
39	252	6064
40	258	6043
41	264	6030
42	269	6001
43	274	5966
44	279	5932
45	287	5966
46	297	6023
47	303	6019
48	309	6000
49	315	6002
50	323	6015
51	328	5982
52	333	5954
53	338	5923
54	343	5903
55	350	5909
56	355	5888
57	363	5896
58	372	5946
59	378	5931
60	384	5923
61	391	5916
62	401	5971
63	408	5968
64	413	5950
65	420	5945
66	426	5942
67	433	5936
68	437	5903
69	443	5895
70	454	5941
71	459	5924
72	466	5926
73	472	5915
74	481	5940
75	488	5938
76	494	5926
77	500	5916
78	506	5903
79	511	5885
80	516	5858
81	521	5837
82	528	5843
83	534	5826
84	539	5810
85	546	5804
86	552	5795
87	559	5803
88	563	5767
89	570	5765
90	577	5766
91	587	5802
92	595	5809
93	600	5789
94	607	5784
95	614	5783
96	622	5793
97	627	5776
98	633	5762
99	641	5776
100	649	5778
101	655	5772
102	660	5756
103	666	5745
104	673	5738
105	678	5725
106	683	5708
107	691	5712
108	695	5685
109	700	5668
110	706	5654
111	712	5646
112	718	5636
113	726	5648
114	734	5649
115	740	5645
116	745	5628
117	751	5617
118	756	5604
119	761	5587
120	769	5593
121	776	5591
122	783	5583
123	789	5576
124	795	5566
125	802	5567
126	810	5571
127	818	5574
128	825	5571
129	831	5567
130	836	5549
131	841	5534
132	848	5529
133	855	5529
134	861	5516
135	865	5498
136	870	5485
137	876	5473
138	882	5467
139	889	5461
140	894	5452
141	900	5441
142	906	5432
143	912	5425
144	916	5405
145	919	5380
146	925	5369
147	934	5381
148	941	5377
149	947	5371
150	954	5365
151	962	5369
152	969	5366
153	976	5363
154	982	5355
155	987	5342
156	994	5339
157	1000	5333
158	1006	5322
159	1013	5321
160	1018	5309
161	1023	5295
162	1029	5284
163	1034	5273
164	1039	5261
165	1052	5288
166	1061	5297
167	1070	5302
168	1076	5294
169	1082	5285
170	1087	5271
171	1096	5279
172	1102	5268
173	1107	5255
174	1113	5250
175	1119	5240
176	1128	5248
177	1137	5251
178	1143	5246
179	1149	5235
180	1154	5225
181	1160	5217
182	1165	5202
183	1172	5197
184	1178	5191
185	1184	5181
186	1190	5174
187	1197	5170
188	1202	5158
189	1210	5161
190	1216	5151
191	1221	5140
192	1227	5131
193	1232	5122
194	1238	5112
195	1244	5103
196	1249	5091
197	1257	5093
198	1265	5092
199	1272	5089
200	1274	5065
201	1279	5055
202	1286	5051
203	1293	5047
204	1299	5038
205	1304	5028
206	1310	5019
207	1315	5008
208	1321	5001
209	1326	4991
210	1331	4980
211	1340	4984
212	1347	4977
213	1352	4966
214	1357	4954
215	1363	4947
216	1373	4956
217	1380	4952
218	1386	4943
219	1392	4936
220	1398	4928
221	1404	4920
222	1409	4909
223	1417	4911
224	1425	4908
225	1430	4900
226	1436	4892
227	1442	4883
228	1451	4887
229	1458	4883
230	1465	4879
231	1474	4880
232	1480	4872
233	1486	4866
234	1491	4856
235	1499	4854
236	1504	4844
237	1509	4833
238	1515	4826
239	1521	4818
240	1532	4825
241	1539	4821
242	1546	4819
243	1557	4824
244	1564	4819
245	1568	4808
246	1574	4798
247	1581	4796
248	1591	4798
249	1596	4790
250	1602	4782
251	1611	4781
252	1619	4780
253	1624	4771
254	1630	4763
255	1635	4753
256	1642	4748
257	1648	4740
258	1655	4737
259	1664	4736
260	1670	4730
261	1676	4722
262	1682	4715
263	1688	4707
264	1696	4705
265	1702	4698
266	1705	4682
267	1709	4668
268	1715	4660
269	1720	4651
270	1726	4645
271	1732	4636
272	1741	4637
273	1748	4631
274	1753	4622
275	1758	4613
276	1765	4607
277	1775	4611
278	1782	4606
279	1788	4598
280	1794	4592
281	1800	4584
282	1805	4575
283	1810	4565
284	1815	4554
285	1824	4555
286	1830	4546
287	1835	4538
288	1841	4529
289	1844	4516
290	1848	4503
291	1859	4507
292	1865	4501
293	1871	4493
294	1876	4485
295	1882	4477
296	1889	4472
297	1894	4463
298	1903	4462
299	1911	4460
300	1917	4453
301	1923	4444
302	1928	4436
303	1937	4436
304	1944	4429
305	1949	4422
306	1955	4414
307	1962	4408
308	1968	4401
309	1975	4397
310	1985	4397
311	1990	4388
312	1995	4379
313	2000	4370
314	2006	4362
315	2011	4353
316	2018	4349
317	2026	4346
318	2035	4344
319	2044	4344
320	2051	4340
321	2056	4330
322	2066	4331
323	2071	4321
324	2077	4314
325	2082	4306
326	2085	4292
327	2092	4286
328	2099	4282
329	2106	4276
330	2114	4273
331	2120	4266
332	2126	4259
333	2133	4253
334	2137	4243
335	2147	4244
336	2154	4237
337	2160	4231
338	2166	4225
339	2174	4221
340	2181	4216
341	2187	4209
342	2193	4201
343	2198	4192
344	2203	4183
345	2206	4170
346	2211	4161
347	2216	4152
348	2225	4151
349	2234	4149
350	2239	4141
351	2245	4133
352	2251	4125
353	2261	4126
354	2266	4118
355	2273	4113
356	2280	4106
357	2286	4101
358	2294	4096
359	2302	4092
360	2309	4088
361	2317	4084
362	2324	4078
363	2329	4071
364	2337	4067
365	2346	4064
366	2353	4059
367	2360	4053
368	2366	4046
369	2371	4037
370	2377	4030
371	2386	4029
372	2393	4022
373	2398	4013
374	2403	4006
375	2409	3998
376	2417	3994
377	2424	3989
378	2430	3982
379	2438	3979
380	2445	3973
381	2450	3965
382	2456	3957
383	2464	3953
384	2472	3949
385	2479	3944
386	2487	3939
387	2493	3932
388	2504	3933
389	2512	3929
390	2519	3923
391	2526	3919
392	2533	3913
393	2539	3905
394	2548	3902
395	2553	3894
396	2562	3891
397	2567	3883
398	2573	3875
399	2580	3870
400	2586	3863
401	2592	3856
402	2597	3848
403	2603	3840
404	2609	3833
405	2614	3825
406	2620	3817
407	2630	3816
408	2637	3810
409	2642	3803
410	2648	3794
411	2653	3786
412	2663	3785
413	2669	3779
414	2675	3771
415	2680	3763
416	2686	3756
417	2691	3748
418	2696	3739
419	2701	3731
420	2710	3727
421	2716	3720
422	2721	3711
423	2726	3704
424	2732	3696
425	2741	3693
426	2748	3688
427	2755	3682
428	2763	3677
429	2768	3669
430	2773	3661
431	2778	3653
432	2782	3644
433	2789	3638
434	2797	3633
435	2801	3624
436	2807	3616
437	2812	3608
438	2819	3602
439	2825	3596
440	2831	3589
441	2836	3581
442	2842	3573
443	2848	3566
444	2853	3559
445	2858	3551
446	2864	3543
447	2873	3540
448	2879	3533
449	2885	3527
450	2891	3520
451	2896	3511
452	2906	3509
453	2912	3502
454	2918	3495
455	2923	3487
456	2928	3479
457	2933	3471
458	2940	3465
459	2945	3457
460	2953	3453
461	2958	3445
462	2963	3436
463	2969	3430
464	2972	3420
465	2978	3412
466	2990	3413
467	2997	3407
468	3004	3401
469	3010	3395
470	3016	3388
471	3021	3379
472	3026	3371
473	3034	3367
474	3041	3361
475	3047	3354
476	3053	3348
477	3059	3340
478	3067	3336
479	3078	3334
480	3085	3329
481	3091	3322
482	3098	3316
483	3103	3308
484	3112	3304
485	3120	3299
486	3126	3292
487	3132	3286
488	3137	3278
489	3145	3274
490	3152	3268
491	3158	3261
492	3164	3254
493	3170	3247
494	3176	3240
495	3182	3233
496	3187	3225
497	3196	3222
498	3204	3217
499	3211	3211
500	3217	3204
501	3226	3200
502	3233	3195
503	3239	3187
504	3245	3181
505	3251	3174
506	3257	3167
507	3262	3160
508	3267	3152
509	3278	3150
510	3283	3142
511	3288	3134
512	3294	3127
513	3300	3120
514	3309	3116
515	3315	3109
516	3321	3102
517	3327	3095
518	3332	3088
519	3338	3082
520	3343	3074
521	3349	3067
522	3360	3065
523	3368	3059
524	3375	3054
525	3381	3047
526	3389	3042
527	3397	3036
528	3404	3030
529	3410	3024
530	3415	3016
531	3421	3009
532	3425	3001
533	3430	2993
534	3438	2988
535	3442	2980
536	3448	2973
537	3453	2965
538	3458	2958
539	3464	2951
540	3472	2946
541	3478	2939
542	3487	2935
543	3495	2929
544	3500	2922
545	3506	2915
546	3511	2907
547	3519	2903
548	3527	2897
549	3534	2891
550	3540	2885
551	3545	2877
552	3553	2872
553	3560	2866
554	3566	2859
555	3572	2852
556	3578	2846
557	3584	2839
558	3591	2833
559	3601	2829
560	3610	2825
561	3616	2818
562	3621	2811
563	3627	2804
564	3634	2798
565	3640	2791
566	3646	2784
567	3651	2777
568	3656	2769
569	3662	2763
570	3667	2755
571	3672	2748
572	3682	2743
573	3688	2737
574	3693	2730
575	3699	2723
576	3704	2715
577	3713	2711
578	3719	2704
579	3725	2697
580	3731	2690
581	3736	2683
582	3743	2677
583	3748	2670
584	3753	2662
585	3761	2657
586	3768	2651
587	3773	2644
588	3779	2637
589	3784	2630
590	3792	2624
591	3799	2618
592	3806	2612
593	3811	2605
594	3817	2598
595	3822	2591
596	3827	2583
597	3832	2576
598	3837	2569
599	3845	2563
600	3852	2557
601	3860	2552
602	3866	2545
603	3874	2540
604	3880	2533
605	3886	2526
606	3893	2520
607	3899	2514
608	3904	2507
609	3911	2500
610	3918	2495
611	3927	2489
612	3933	2483
613	3940	2476
614	3946	2470
615	3954	2464
616	3961	2459
617	3968	2452
618	3974	2446
619	3980	2439
620	3986	2432
621	3991	2425
622	3995	2418
623	4004	2413
624	4010	2406
625	4015	2398
626	4020	2391
627	4026	2385
628	4035	2380
629	4044	2375
630	4051	2369
631	4056	2362
632	4063	2355
633	4068	2348
634	4074	2341
635	4080	2335
636	4088	2329
637	4094	2323
638	4101	2316
639	4107	2310
640	4115	2305
641	4122	2298
642	4127	2291
643	4133	2284
644	4139	2278
645	4144	2271
646	4150	2264
647	4155	2257
648	4161	2250
649	4173	2247
650	4183	2242
651	4191	2237
652	4201	2232
653	4206	2225
654	4213	2219
655	4220	2213
656	4226	2206
657	4232	2199
658	4237	2192
659	4246	2187
660	4255	2182
661	4261	2175
662	4266	2168
663	4271	2161
664	4283	2157
665	4291	2152
666	4299	2146
667	4305	2139
668	4311	2133
669	4317	2126
670	4325	2121
671	4332	2114
672	4340	2108
673	4347	2102
674	4354	2096
675	4365	2092
676	4374	2087
677	4383	2081
678	4390	2075
679	4395	2068
680	4403	2062
681	4413	2057
682	4422	2052
683	4429	2046
684	4438	2041
